HIST1H3I
ZSCAN16-AS1
SLC44A4
ARL5B
HIST1H2AM
DCP1B
CYP2D6*10
HIST1H1B
VWA7
TMEM150B
MEF2C
RFX3
ZKSCAN8
ZNF204P
ODZ4
SNORD52
LY6G5B
OR2B6
SORCS3
HLA-DQA1
MHCregion
MCCD1
ZSCAN9
ABHD16A
TAP2
MICA
OR14J1
KIAA0020
LY6G6E
MYO10
HLA-C
RBFOX1
ZSCAN12P1
SAPCD1
AIF1
C1ORF95
HIST1H3J
HIST1H2BL
OR2H1
HIST1H2AJ
NKAPL
OR2B2
HIST1H4K
LY6G5C
NEGR1
MIR6891
PGBD1
ATP6V1G2
ITIH3
ZSCAN26
VN1R10P
HIST1H4J
C6orf15
LST1
LSM2
PSORS1C3
HIST1H2BM
CACNA1C
HIST1H3H
MAT2B
SNORD117
HCG26
CNNM2
HCP5
HLA-DQB2
MMP16
CLIC1
PCLO
TPH2
NEU1
HIST1H4L
ANK3
OR11A1
HACE1
HIST1H2AK
POU5F1
CDSN
LPGAT1
C6orf47
ZNF165
SNORA38
OR2T12
RSRC1
CYP2D6*4
VARS
HSPA1A
LY6G6D
HSPA1B
NFKBIL1
ZNF192P1
ZNF184
HCG27
ZSCAN31
NCR3
DDX39B
SEPT
SYNE1
ZNF391
TMEM161B
FHIT
MUC5B
HLA-DQB1
DDAH2
FKBP5
L3MBTL2
HLA-B
DPYD
LY6G6F
TCF19
CCHCR1
HIST1H2AL
HIST1H2AI
ZKSCAN4
MSH5
HTR2A
CSMD1
LTA
MLF1
APOM
SNORD48
PRRC2A
MSH5-SAPCD1
HLA-DQA2
SNORD84
PRSS16
VRK2
LOC100132273
CACNB2
OR12D2
MIR137
CRTAP
CYP2D6*14
HIST1H2BO
LTB
TNF
CSNK2B
PLEK2
C6orf48
CYP2D6
LIN28B
PSORS1C2
AS3MT
C6orf25
OLFM4
LINC01012
LY6G6C
ZSCAN16
MIR6832
GPANK1
OR12D3
HIST1H2BN
NR
HSPA1L
HLA-DOB
LOC100131289
POM121L2
OR10C1
MIR4646
OR5V1
MICB
PSORS1C1
PRR5-ARHGAP8
LOC388906
RERE
PAX5
TOB2P1
BAG6
NT5C2
