UBTF
SPPL2C
SLC44A4
NOD2
MAPT-AS1
PINK1
DNAH1
CD19
ITIH4
SYT11
SORBS3
NUCKS1
CTSB
ADAMTS9
CASC16
BAG3
KPNA1
HLA-DQA1
FGD4
PLA2G6
KLHL7
PARK16
TLR9
SIPA1L2
MIPOL1
LINC00693
STX1B
COL18A1
HIP1R
NDUFAF2
ATXN2
BAP1
GXYLT1
LAMP3
WWOX
RPL18P3
SPPL2B
SCARB2
MAP4K4
GCH1
FAM47E
HTRA2
SH3GL2
CD38
TRNT
SLC41A1
HIST1H2BL
ITPKB
ITGA8
C8orf58
VPS13C
MICU3
PARK7
GBAP1
MAPT
GBF1
DYRK1A
TMEM175
ZNF98
PPFIBP1
DCUN1D1
AS2
CDC71
ELOVL7
ITIH3
FGF20
GALC
LRRC37A3
LRRK2
IL1R2
ZNF608
KIAA1267
PRICKLE1
GLUD2
HLA-DRB5
TMEM163
PMVK
CNTN1
TMEM229B
ALAS1
OGFOD2
SNX29P2
ADH1C
BRIP1
KCNIP3
ARHGAP27
PM20D1
STH
SLC2A13
DLG2
SLC45A3
TRIM40
FBXO7
TBP
LCORL
GS1-124K5.11
C17orf69
FER
PBX1
FAM200B
FYN
MCCC1
NCKIPSD
MAP3K14
GPRIN3
CLCN3
ZNF184
EIF4G1
SETD1A
CEL
SYT4
KCNS3
TPM1
NR4A2
FRRS1L
CCNT2
HLA-DQB1
HLA-DRA
CRHR1
KAT8
CHD9
FAM47E-STBD1
DNAJC6
GAK
ADAMTS20
CHCHD2
NSF
KANSL1
SATB1
LPPR1
SYNJ1
UCHL1
PDLIM2
CHRNB1
ZFAT
CAB39L
BCKDK
CRLS1
TOX3
WNT3
SYT17
MBNL2
RAB29
UBAP2
ASXL3
BST1
ZNF646
NISCH
BIN3
HLA
RAB7L1
GBA
RNF141
VPS35
SNCA
INPP5F
FAM171A1
STAB1
LHFPL2
RETREG3
RPS6KL1
LOC644246
GPNMB
ZNF277
CLEC19A
C12orf40
PHF7
SCN3A
STK39
RIT2
NUPL2
MED12L
PARK2
DGKQ
COQ7
GIGYF2
CCDC62
PRKN
IP6K2
C5orf24
DNAH17
SNCAIP
ACMSD
FAM49B
ATXN8OS
SPTSSB
FAM171A2
IGSF9B
PAM
